item_name,cuisine,ingredients,recipe,description,common_names,benefits,type,alternate,enum,accompanied_food,prompt,response,dish_name
Margherita Pizza,Italian,"[""tomato sauce"", ""mozzarella"", ""basil"", ""olive oil"", ""pizza dough""]",Spread tomato sauce on the dough, top with mozzarella and basil, then bake until crust is golden.,Classic Italian pizza with a crisp crust, fresh tomato flavor, and creamy cheese.,"[""Cheese Pizza""]","[""Vegetarian"", ""Good source of calcium""]",Main,"[""Vegan cheese"", ""Gluten-free crust""]",traditional,"[""Garlic bread"", ""Red wine""]",,,
Paneer Chatpata,Indian,"[""paneer"", ""onions"", ""tomatoes"", ""chaat masala"", ""lemon juice""]",Paneer cubes are tossed with onions, tomatoes, and spices like chaat masala and lemon juice for a tangy twist.,A spicy and tangy Indian chaat made with paneer cubes and flavorful spices.,"[""Spicy Paneer Chaat""]","[""Rich in protein"", ""Vegetarian""]",Snack,"[""Tofu for vegan version""]",non-traditional,"[""Mint chutney"", ""Sweet chutney""]",Cuisine: Indian | Type: Snack | Ingredients: paneer, onions, tomatoes, chaat masala | Diet: Vegetarian,Paneer Chatpata - A spicy Indian chaat featuring cubes of paneer tossed in tangy spices, onions, and tomatoes.,Paneer Chatpata
Rawa Dosa,"Indian (South)","[""semolina (rawa)"", ""rice flour"", ""yogurt"", ""water"", ""salt"", ""green chili"", ""cumin""]",Make a loose batter of semolina, rice flour, yogurt and spices; spread thin on a griddle and cook until golden and crispy.,A crisp and lacy crepe made from semolina and rice flour, lightly spiced—perfect for breakfast or a snack.,"[""Rava Dosa""]","[""Quick to prepare"", ""Gluten‑free""]","Breakfast/Snack","[""Masala rawa dosa"", ""Set dosa""]",non-traditional,"[""Coconut chutney"", ""Sambar""]",Cuisine: Indian | Type: Snack | Ingredients: semolina, rice flour, yogurt, spices | Diet: Vegetarian,Rawa Dosa - A crisp, lacy South Indian crepe made from a semolina-rice flour batter, seasoned with spices and served with sambar or chutney.,Rawa Dosa
Butter Dosa,"Indian (South)","[""rice"", ""urad dal"", ""butter"", ""salt""]",Fermented dosa batter is spread thin on a griddle, baked with butter until crisp and golden.,A crispy South Indian crepe, generously cooked with butter for a rich and savoury flavour.,"[""Butter Dosa""]","[""Energy‑rich"", ""Gluten‑free""]","Breakfast/Snack","[""Ghee dosa"", ""Paper dosa""]",non-traditional,"[""Sambar"", ""Chutney""]",Cuisine: Indian | Type: Snack | Ingredients: rice, urad dal, butter | Diet: Vegetarian,Butter Dosa - A crisp South Indian crepe made from fermented batter, cooked with butter and served with chutney and sambar.,Butter Dosa
Udikinthoku,"Indian (Andhra)","[""raw mangoes"", ""oil"", ""red chili powder"", ""salt""]",Boiled raw mango chunks are tossed with oil, red chili powder and salt, then lightly fermented for a tangy and spicy side.,A simple yet flavorful Andhra snack of boiled raw mango pieces spiced and ferment‑tinged for tang and heat.,"[""Udikinthoku""]","[""Probiotic from fermentation"", ""Vitamin C""]","Snack/Condiment","[""Garlic-infused variant""]",traditional,"[""Curd rice"", ""Hot rice""]",Cuisine: Indian | Type: Snack | Ingredients: raw mangoes, oil, chili powder, salt | Diet: Vegetarian,Udikinthoku - Boiled raw mango pieces spiced with chili and salt, then ferment‑tinged for a tangy Andhra snack or condiment.,Udikinthoku
Avakaya (Mango Pickle),"Indian (Andhra)","[""raw mangoes"", ""mustard powder"", ""red chili powder"", ""fenugreek"", ""salt"", ""gingelly oil"", ""garlic""]","Cut and sun-dry raw mango pieces, mix with mustard & chili powder, salt, fenugreek & garlic; layer in jars, cover with oil and ferment in sun for days :contentReference[oaicite:1]{index=1}.",A fiery Andhra-style raw mango pickle, pungent and spicy, made with mustard powder and chili for a year-long shelf life.,"[""Avakaya"", ""Aavakaaya"", ""Mango Pickle""]","[""Rich in antioxidants"", ""Long shelf life""]",Condiment,"[""Bellam Avakaya (with jaggery)"", ""Garlic-free version""]",traditional,"[""Hot rice"", ""Curd rice"", ""Papad""]",Cuisine: Indian | Type: Condiment | Ingredients: raw mangoes, mustard powder, chili powder, oil | Diet: Vegetarian,Avakaya Mango Pickle - A classic spicy Andhra pickle made by fermenting sun‑dried raw mango pieces in mustard, chili, and oil for a tangy, long‑lasting condiment.,Avakaya (Mango Pickle)
Rasam Rice,Indian,"[""rice"", ""tomatoes"", ""tamarind"", ""black pepper"", ""cumin"", ""mustard seeds"", ""coriander""]",A spicy-sour soup made with tamarind, tomatoes, and spices is poured over rice and served warm, often with ghee.,A comfort South Indian dish made by mixing rice with tangy, peppery rasam broth.,"[""Charu Annam"", ""Saaru""]","[""Boosts digestion"", ""Anti-inflammatory""]",Main,"[""Lemon rasam rice"", ""Garlic rasam rice""]",traditional,"[""Papad"", ""Potato fry""]",Cuisine: Indian | Type: Main | Ingredients: rice, tamarind, tomatoes, spices | Diet: Vegetarian,Rasam Rice - Rice soaked in a tangy, peppery tamarind broth with Indian spices; a light and warming South Indian meal.,Rasam Rice
Sambar Rice,Indian,"[""rice"", ""toor dal"", ""sambar powder"", ""vegetables"", ""mustard seeds"", ""tamarind""]",Cooked rice and lentils are mixed with a tangy sambar made from tamarind and vegetables, then tempered with mustard seeds and curry leaves.,A nutritious South Indian rice dish combining lentils, tamarind, and vegetables for a comforting meal.,"[""Sambar Sadam""]","[""Protein-rich"", ""Wholesome meal""]",Main,"[""Millet sambar rice"", ""Jain sambar rice""]",traditional,"[""Papad"", ""Curd"", ""Pickle""]",Cuisine: Indian | Type: Main | Ingredients: rice, toor dal, vegetables, tamarind, spices | Diet: Vegetarian,Sambar Rice - A wholesome South Indian meal of rice mixed with lentil-based sambar and seasonal vegetables.,Sambar Rice
Butter Naan,Indian,"[""maida (refined flour)"", ""yeast"", ""milk"", ""butter"", ""salt""]",Soft, leavened dough is rolled and tandoor-cooked until charred, then brushed with butter for a rich finish.,A soft, fluffy flatbread made from refined flour and finished with butter, served hot with curries.,"[""Naan"", ""Tandoori Naan""]","[""Rich and filling"", ""Comfort food""]",Bread,"[""Garlic naan"", ""Whole wheat naan""]",traditional,"[""Paneer Butter Masala"", ""Dal Makhani""]",Cuisine: Indian | Type: Bread | Ingredients: maida, yeast, butter, milk | Diet: Vegetarian,Butter Naan - A soft, tandoor-baked flatbread brushed with butter, perfect for pairing with rich Indian curries.,Butter Naan
Veg Dum Biryani,Indian,"[""basmati rice"", ""mixed vegetables"", ""spices"", ""yogurt"", ""saffron"", ""fried onions""]",Layered basmati rice and spiced vegetables are slow-cooked (dum) with yogurt, herbs, and saffron for a rich aromatic dish.,A fragrant and flavorful rice dish made by layering spiced vegetables and rice, then slow-cooked to perfection.,"[""Hyderabadi Veg Biryani"", ""Dum Pulao""]","[""Balanced meal"", ""Rich in fiber and flavor""]",Main,"[""Quinoa biryani"", ""Paneer biryani""]",traditional,"[""Raita"", ""Salad"", ""Papad""]",Cuisine: Indian | Type: Main | Ingredients: basmati rice, mixed vegetables, yogurt, spices | Diet: Vegetarian,Veg Dum Biryani - A slow-cooked, aromatic Indian rice dish made with spiced vegetables layered with basmati rice and saffron.,Veg Dum Biryani
Jalebi,Indian,"[""maida"", ""yogurt"", ""sugar syrup"", ""saffron"", ""ghee""]",A fermented batter is piped into spiral shapes, deep-fried in ghee, and dunked in warm saffron sugar syrup.,A bright orange, crispy and juicy sweet made by deep-frying spirals of batter and soaking in syrup.,"[""Jilapi"", ""Zalebi""]","[""Instant energy"", ""Traditionally fermented""]",Dessert,"[""Stevia syrup"", ""Air-fried jalebi""]",traditional,"[""Rabri"", ""Poha (in MP)""]",Cuisine: Indian | Type: Dessert | Ingredients: maida, sugar syrup, saffron, ghee | Diet: Vegetarian,Jalebi - A crispy, coiled Indian sweet soaked in saffron sugar syrup, often served hot with rabri.,Jalebi
